# BEAST v1.8.1, r6542
# Generated Wed Jan 21 11:40:54 PST 2015 [seed=1421869242079]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
103000	-245376.7926603281	-586.7850035294357	-244790.00765679867	903.8324692193743	554.7443098875519	0.1008765491703911	-244790.00765679867	-582.7603540199334
104000	-245366.6888040754	-586.8005636713406	-244779.88824040408	902.4749849441044	571.3420307667797	0.10102828559691462	-244779.88824040408	-582.7449303838551
105000	-245347.63802411477	-588.1492119533332	-244759.48881216143	902.4604810710047	584.7938190425126	0.10102990927070923	-244759.48881216143	-584.0702912888921
106000	-245320.85907684657	-588.5085575070807	-244732.3505193395	901.8397953893034	617.688766346775	0.10011094363753306	-244732.3505193395	-584.3840490623934
107000	-245310.84982143866	-586.9040325285696	-244723.9457889101	902.4691761728524	559.1777718691521	0.09995913198594025	-244723.9457889101	-582.8805589449835
108000	-245324.42511449894	-589.2065932507909	-244735.21852124814	902.1111621134727	585.0608901973836	0.09913613158183839	-244735.21852124814	-585.1461386300706
109000	-245311.36843573148	-587.9713548858538	-244723.39708084564	901.5340747068802	712.328120190145	0.09923282096494566	-244723.39708084564	-583.7131027005444
110000	-245312.34125028356	-590.0006708415191	-244722.34057944204	902.1024560706833	630.6805824010565	0.09933355103009744	-244722.34057944204	-585.8631432052699
111000	-245309.87193769382	-589.3640783490387	-244720.5078593448	908.2402866924949	526.6978763325127	0.09929660640400735	-244720.5078593448	-585.4070951382835
112000	-245308.13621426944	-591.0241223587548	-244717.11209191068	907.627769975777	632.0158141426862	0.09917105611681296	-244717.11209191068	-586.8861170228246
113000	-245313.02285443724	-589.635567988345	-244723.38728644888	906.840821208902	683.7454446765	0.10003119581591582	-244723.38728644888	-585.4102554803794
114000	-245280.25085691965	-586.9461899820367	-244693.30466693762	907.2297019090086	589.9298133702434	0.09983942614539729	-244693.30466693762	-582.8703785347226
115000	-245291.46214327836	-588.5013960810302	-244702.96074719733	907.6672345652971	483.333171231044	0.1023582892453879	-244702.96074719733	-584.5999658506146
116000	-245295.28095192352	-588.0478922950774	-244707.23305962843	909.2807700000358	715.8191687052528	0.1006911975082662	-244707.23305962843	-583.7701616137936
117000	-245293.59009885395	-591.3654881130985	-244702.22461074084	908.549269341058	839.2569100436823	0.10057517396092149	-244702.22461074084	-586.9298210751625
118000	-245292.0886617258	-587.2045997279334	-244704.88406199787	905.9593742905568	722.4000582785163	0.09959536611355482	-244704.88406199787	-582.9286602855954
119000	-245291.26386880863	-585.6314785839982	-244705.63239022464	903.1716234834712	672.103221861951	0.10151538220733193	-244705.63239022464	-581.4086115944516
120000	-245287.55483809765	-584.0376355438154	-244703.51720255383	900.1048305663736	582.9701311824957	0.10115153293781202	-244703.51720255383	-579.9606351521293
121000	-245277.23511709282	-585.1303724018084	-244692.104744691	899.2979456039687	581.8424648486746	0.10312989853893946	-244692.104744691	-581.035938604143
122000	-245284.2023103155	-589.4450865216573	-244694.75722379386	902.209180173793	790.3870743108754	0.10244401088736356	-244694.75722379386	-585.0510025935988
123000	-245282.7887212109	-586.8958073506919	-244695.8929138602	901.3325307232875	515.5889941725462	0.10208064466812677	-244695.8929138602	-582.9324895696078
124000	-245284.58056688972	-586.3285107130027	-244698.25205617672	902.1482382754892	537.79291613573	0.10099628006212208	-244698.25205617672	-582.3337087350726
125000	-245272.14312896045	-588.5625152916623	-244683.58061366878	904.1507370583065	510.3685979199358	0.10077931927073576	-244683.58061366878	-584.6222041963351
126000	-245278.1616662704	-585.6770648277558	-244692.48460144264	896.7430684103333	616.9743692606817	0.1019536196949727	-244692.48460144264	-581.5354746236019
127000	-245276.5223668727	-585.9458735906411	-244690.57649328205	897.9422016961969	546.6600180896578	0.10122039614207175	-244690.57649328205	-581.932501520126
128000	-245274.47946386097	-589.0113852382498	-244685.4680786227	900.2456467104865	722.6929253771884	0.09888842148819921	-244685.4680786227	-584.7421639492916
129000	-245277.9229640087	-587.7236382872326	-244690.19932572148	899.5576422493245	670.4361347352458	0.09989097471321053	-244690.19932572148	-583.5193857798758
130000	-245278.45038851642	-587.2285133773097	-244691.2218751391	899.8992363719296	624.6609544258201	0.09985305694588259	-244691.2218751391	-583.0953599518907
131000	-245276.31303179864	-588.4786475196473	-244687.83438427898	898.1278311785293	690.176315280368	0.10048791869254246	-244687.83438427898	-584.2394181960298
132000	-245263.9711181046	-588.6422122381723	-244675.32890586642	898.1278311785293	624.0008229099898	0.09988258692859621	-244675.32890586642	-584.5098204645773
133000	-245267.41119673697	-588.4843061383241	-244678.92689059864	900.6319463322513	580.6241362008758	0.09851730318871227	-244678.92689059864	-584.4377255958041
134000	-245266.60237776526	-587.90814265362	-244678.69423511164	900.1981418894701	610.9270200619047	0.09856477856310526	-244678.69423511164	-583.8102064415907
135000	-245268.35374705144	-586.5934361528509	-244681.7603108986	899.4402049868906	571.3406120843847	0.09832165961528663	-244681.7603108986	-582.5649615366392
136000	-245258.43231421078	-590.5720723114943	-244667.86024189927	901.280204058659	485.69042303514044	0.09812093207060947	-244667.86024189927	-586.7080554405417
137000	-245245.19458950023	-588.9805027342152	-244656.214086766	900.8834296211268	611.4273738229086	0.09619264932987172	-244656.214086766	-584.9061088879197
138000	-245253.1121483927	-587.821736200897	-244665.29041219183	902.3413614630691	544.272324512803	0.0958712217228619	-244665.29041219183	-583.8670359112045
139000	-245253.25974597098	-587.9573992273629	-244665.3023467436	900.861367719158	583.8112462853984	0.09697437229364063	-244665.3023467436	-583.9211300437381
140000	-245262.28233675702	-587.7566847744345	-244674.52565198258	897.5513406417386	674.0489524758007	0.0978342968607316	-244674.52565198258	-583.5678621161425
141000	-245269.2974920575	-590.8939759768182	-244678.40351608067	904.7361168179614	641.4840260297206	0.09353228079432137	-244678.40351608067	-586.7996403471745
142000	-245281.3479726404	-595.7640849102148	-244685.58388773017	904.8869273053708	437.40392604145325	0.09351669249435873	-244685.58388773017	-592.0528431554224
143000	-245279.42458892934	-593.0774919205995	-244686.34709700875	906.0305233346364	657.7029236342311	0.09338236592500258	-244686.34709700875	-588.9597913282944
144000	-245260.8355733318	-592.3855348670425	-244668.45003846477	905.8882734474373	636.9782901621643	0.09302959415117532	-244668.45003846477	-588.3036369131989
145000	-245262.46070382337	-596.035171959977	-244666.42553186338	906.032569840482	567.8044088546422	0.09086285284917286	-244666.42553186338	-592.091798972014
146000	-245269.16119134452	-594.4196443247705	-244674.74154701974	906.4320090046336	681.9385797177542	0.09049366807074569	-244674.74154701974	-590.2971801268405
147000	-245250.92645964408	-594.7019961200906	-244656.22446352398	906.423173697082	688.3036538243585	0.08861095780238085	-244656.22446352398	-590.5912657740146
148000	-245252.01782395027	-597.7409523635206	-244654.27687158674	909.7411682203667	672.3539491784812	0.08828777722865079	-244654.27687158674	-593.6573210557586
149000	-245247.77320348358	-600.6607143254079	-244647.11248915817	913.6209895328057	764.2893492214423	0.08547459160597642	-244647.11248915817	-596.4813039999973
150000	-245246.67177834004	-601.971372312453	-244644.70040602758	916.6197909396101	770.6107457565471	0.08208387617397563	-244644.70040602758	-597.824202610029
151000	-245233.87751573566	-600.6806070463235	-244633.19690868934	913.4823843871853	740.4188192358681	0.08266673731127351	-244633.19690868934	-596.5663290152005
152000	-245233.84838410575	-600.7086844404628	-244633.13969966528	913.9575794150707	613.895259007461	0.08321588459172115	-244633.13969966528	-596.7751771436076
153000	-245238.10101625795	-600.5729816156171	-244637.52803464234	914.02693613789	702.5011721739046	0.08320957013772248	-244637.52803464234	-596.5047274579118
154000	-245240.2852092568	-602.9652655423055	-244637.3199437145	919.6996943367451	667.4266521699354	0.08149338533423396	-244637.3199437145	-598.9690694660306
155000	-245239.52359978837	-601.1083862348985	-244638.41521355347	917.2475045408567	668.3631120683297	0.08268113563032094	-244638.41521355347	-597.0963184371225
156000	-245240.44267237128	-600.7177787195659	-244639.72489365173	916.5297868192439	665.5191020219856	0.08343943698701788	-244639.72489365173	-596.7008455947104
157000	-245249.32388268292	-600.3390132598096	-244648.98486942312	914.858866974546	676.8227461642255	0.08342697845990744	-244648.98486942312	-596.3053873828776
158000	-245245.3926310997	-600.5524496608294	-244644.84018143886	915.2289867731182	758.276899649572	0.0836934274329589	-244644.84018143886	-596.4019958687894
159000	-245241.856870055	-600.555966189057	-244641.30090386595	914.7950628563227	700.6519580283515	0.08274856100653195	-244641.30090386595	-596.4959035733816
160000	-245241.6560306322	-601.8542184350875	-244639.8018121971	916.6958147035832	780.4025452737535	0.08218216893002105	-244639.8018121971	-597.6932254882886
161000	-245236.09467652958	-601.4949372029935	-244634.5997393266	915.6618233014368	783.2985786224127	0.08227497137511698	-244634.5997393266	-597.3291115852936
162000	-245239.33082889463	-602.5863218816643	-244636.74450701298	918.9957590258289	745.233026580582	0.0805436409580661	-244636.74450701298	-598.4915810425869
163000	-245243.5364222709	-602.9736866964181	-244640.5627355745	916.1916305402736	760.1752232062925	0.08210462899219112	-244640.5627355745	-598.8398986146094
164000	-245238.9036779729	-605.3764409459947	-244633.52723702692	920.6442566068384	692.6943296463819	0.08001859694415896	-244633.52723702692	-601.361348336393
165000	-245240.67370915075	-605.6781963409629	-244634.99551280978	924.0559408532063	821.8225620170876	0.07847424799233818	-244634.99551280978	-601.5116565895686
166000	-245243.50667109992	-606.5855262518776	-244636.92114484805	923.1738824247285	885.9360573268171	0.07790726317814774	-244636.92114484805	-602.3511175671853
167000	-245230.58354170874	-605.1682921349047	-244625.41524957382	923.1738824247285	716.7369518209016	0.07838774131498182	-244625.41524957382	-601.1396709595814
168000	-245234.55696626715	-608.7400254517916	-244625.81694081536	926.4309215981751	742.279034885286	0.07550839430845695	-244625.81694081536	-604.7138116675334
169000	-245240.87777315878	-607.7916601270056	-244633.08611303178	925.1225996314201	822.0122536984492	0.07750183389573762	-244633.08611303178	-603.6373585046167
170000	-245235.50711685035	-605.9474618386469	-244629.5596550117	923.0038810135985	725.9053180950935	0.07767973626621288	-244629.5596550117	-601.9152030983099
171000	-245245.3891828956	-607.1649080260964	-244638.2242748695	922.9253702345027	654.2238630083905	0.07747601756489618	-244638.2242748695	-603.23924527632
172000	-245224.82070710397	-606.2180689177163	-244618.60263818625	921.2435322127758	789.1716586306405	0.07761745911379872	-244618.60263818625	-602.103047944249
173000	-245227.50836026424	-605.6202421026173	-244621.88811816162	919.7735367352335	818.2405576872966	0.07774150846868735	-244621.88811816162	-601.4674516786695
174000	-245241.132081825	-607.3372567269694	-244633.794825098	922.0290462447808	718.3680683474656	0.07701075158766393	-244633.794825098	-603.324084895128
175000	-245235.06560770835	-608.8796782789743	-244626.18592942937	926.1725460257824	773.590440437243	0.07513700019051468	-244626.18592942937	-604.8170778547243
176000	-245218.72757909488	-611.2112497579299	-244607.51632933694	927.7163955287232	859.4162218548062	0.07326268213180419	-244607.51632933694	-607.068700322142
177000	-245236.17753232375	-609.9228723022385	-244626.2546600215	925.6948751842488	856.1527871272691	0.07542356490042712	-244626.2546600215	-605.7550589733497
178000	-245226.1939552438	-610.3613948805627	-244615.83256036323	930.6897068861379	804.1925632863414	0.07438791590321124	-244615.83256036323	-606.2700179044763
179000	-245227.32648025744	-612.232748478783	-244615.09373177864	932.052077659866	652.1785811460265	0.07372461392981051	-244615.09373177864	-608.3598486178158
180000	-245214.08981461564	-612.6786915003654	-244601.41112311528	933.6963718520499	662.8668999707807	0.0717103722750628	-244601.41112311528	-608.8172371642296
181000	-245217.95330317796	-616.1079888151381	-244601.8453143628	944.6314171001897	835.0302726782168	0.06851382662023724	-244601.8453143628	-612.061240541852
182000	-245210.64870760177	-616.0577645723259	-244594.59094302944	945.5608118658777	873.3519110389616	0.06785330514849203	-244594.59094302944	-611.9758331735917
183000	-245204.66161891117	-619.0021841546483	-244585.65943475653	945.0388017290715	698.4158019580468	0.06717369555650571	-244585.65943475653	-615.1538430676915
184000	-245205.35555460633	-617.8996595712507	-244587.4558950351	944.5654142096602	734.8727791764788	0.06789186549050591	-244587.4558950351	-613.9898012294876
185000	-245204.65483786163	-617.7721132166956	-244586.88272464494	949.6964382899076	932.409412629865	0.06662590570863264	-244586.88272464494	-613.6430030169921
186000	-245210.59741038765	-620.4095807199218	-244590.18782966773	955.9779090792181	874.7411189202372	0.06483064700266776	-244590.18782966773	-616.3716295812881
187000	-245211.69241728462	-619.9092181392499	-244591.78319914537	953.3555382631084	771.3935783020839	0.06500897501343175	-244591.78319914537	-615.9942493597305
